id,text,qtype,construct
7Fi72Y9bVtSRbskxemvk,This organization is driven by its stated mission.,likert,purpose
2mTq0PjgcHPd8RTbws90,This organization is Christ-centered.,likert,purpose
IUVzu9HBc2VcfsQW4KY5,I clearly understand how diversity fits into the school's mission.,likert,purpose
onWdSGJLWV4q2OACrlN0,Encouraging diversity is important,likert,purpose
IrmiS5y764nVbEDymfKx,I feel like I belong among my colleagues.,likert,belonging
P9Pr54CyfWSlVxzGao7q,I have to work hard to fit in with my colleagues.,likert,belonging
qMlVUeKiM8cqzz0qzyCS,I frequently witness discrimination or bullying on campus,likert,belonging
wGgPbB95EL8xTzxXVoSe,Extra-curricular activities are structured so all students can participate.,likert,belonging
99MnYhAbKZRiwuOUoOIF,"This organization could is described as ""Healthy"" ",likert,fairness
vNaJoMXXJJovwf6Fandb,"When I have concerns, I’m comfortable speaking about them leadership.",likert,fairness
4PHkxB52zj594iVNpz14,The school is able to fix things when needed.,likert,fairness
4Oe3tlEQLT8ZobKCB9z4,"If discrimination were to occur, the school administrators would effectively address it. ",likert,fairness
0kOLRRRJxKNqIQ8s9RjX,Chapel encourages students to engage the Christian faith cross-culturally. ,likert,faith
nSTrxjJojOnN64dwxTDx,Students study faithful Christians from various American cultures and around the world in classes.,likert,faith
g1EbdWcCvJBnUcjAqMnv,The school regularly has Christian role models from various cultures on campus as employees or guests.,likert,faith
HDiqlxJrfRq6boQGN78C,The school provides off campus opportunities for students to serve under leaders of various ethnic backgrounds,likert,faith
DiMXJ0be0QKFn1nJuOIy,The school provides resources for me to expand teaching materials.,likert,opportunities
H33fEgCpntmfPmlROKLZ,The school provides development opportunities for a multicultural learning environment.,likert,opportunities
vXqp0KESgBcPHCR5nhhz,"When new programs are started, follow-up occurs to ensure its success.",likert,opportunities
eCXv0sPMzJXrGgWf6Lyn,"I regularly attend school-sponsored events (sporting events, student performances, social events, etc.)",likert,opportunities
HE7vSJOkHC7OKfvAYMAB,School rules and policies are culturally unbiased.,likert,leadership
ODbXaVv4xBDFqsYbJInH,"I feel comfortable discussing my feelings, worries, and frustrations with my supervisor.",likert,leadership
rjnsBAPm2URTo8GyJ2FR,School rules are implemented consistently despite a student’s cultural background.,likert,leadership
yjgg3rqg4f76Bis6WvBg,School rules are implemented consistently despite a student’s cultural background.,likert,leadership
FCKLQXz8lBojHulFnkJ2,Please Describe any harassment incident you've experienced while at school or at any school function,open,fairness
